Palabra	Lema	POS	Feats	Significado	Glosa	1301	822	999
a		ADV		ya				
a		PART			QST			
aa		VERB	VerbForm=Fin	canta	?-cantar-?			
acha	acha	NOUN		hacha				
adeea								
alberga		NOUN		chícharo				
alberja		NOUN		chícharo				
ama		NUM	NumType=Card	uno				
amtea				no hay				
at								
ay				llama				
ba'a		NOUN		casa				
baa								
baku		NOUN		casa				
bakun		NOUN		mi casa				
bakuu		NOUN		cárcel				
bakñoo		NOUN		municipio				
bakú		NOUN		cárcel				
bayaka		NOUN		coscomate				
bañeʼë		NOUN		mi casa	casa#base-POSS.SG1			
baʼa		NOUN		casa				
bea				hay				
bea				sentado				
beaku				elegante				
beanete		NOUN		limón				
beanu		NOUN		epazote				
beat								
beaye								
bed								
bedbêe				envidia				
bede				español				
bedeanu								
bedinuu		NOUN		milagro				
bedyeno				estar de fiesta				
bee				ciego				
beede		NOUN		español				
beeye		NOUN		nixtamal				
bemoñoʼo								
bet								
beta								
betee		NOUN		tamal				
beâ		NOUN		naranja				
bi'i				hermano(a)				
bichas				está gordo				
bichi		NOUN		gato				
bichñoʼö		NOUN		carpintero				
bii								
biidi				pasle				
binkuinuu								
bií								
biʼi		NOUN		mi hermano				
biʼin								
bokioo		NOUN		municipio				
booy								
boʼo		NOUN		miedo				
boʼos				su miedo	miedo-POSS.3SG.MSC			
bèè								
bèèya		NOUN		nixtamal				
bèèye		NOUN		nixtamal				
bée				malo(a)				
bëe		NOUN		orilla				
bëeñ								
bíchaa				gordo				
bíku		NOUN		fiesta				
bílu		NOUN		gato				
bíni		NOUN		charco				
bítuu		NOUN		viga				
cantu								
chaku		NOUN		mi mamá				
chakud		NOUN		tu mamá	mamá-POSS.2SG			
chakun		NOUN		mi mamá				
che'ed		VERB		come				
che'ë		VERB		fui				
chea			PronType=Int	cuál				
cheanu		VERB		corrió				
cheanu		NOUN		cuñada				
cheanun		NOUN		mi cuñada				
cheanuu				largo				
cheanú				sufrir				
cheate				grande				
cheatea				grande				
cheatu		VERB	VerbForm=Fin	quebré	?-quebrar-1SG			
cheatuy				sordo				
chebinu		VERB		cenar				
chebá				comida,comer				
chebä				comer,comida				
chebäa				comer				
chedee		NOUN		carga				
chee		VERB	VerbForm=Fin	comer	?-comer-1SG			
cheebinuy		VERB	VerbForm=Fin	va a cenar	?-cenar-3SG.HUM			
cheed	cheʼe	VERB	VerbForm=Fin	come	?-comer-2SG			
cheede		NOUN		carga				
cheene		NOUN		soplador				
cheeta	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG.FEM			
cheete		NOUN		estómago				
chenet		VERB	VerbForm=Fin	morder	?-morder-?			
chenu								
chete		NOUN		estómago				
cheutumañ		VERB	VerbForm=Fin	rodear	?-rodear-SG3.HUM			
cheé								
cheéd		VERB	VerbForm=Fin	comes	?-comer-2SG			
cheés	kaʼan	VERB	VerbForm=Fin	fue	COM-ir-3SG.MSC			
cheʼe	cheʼe	VERB	VerbForm=Fin	como	?-comer-1SG			
cheʼed	kaʼan	VERB	VerbForm=Fin	fuiste	COM-ir-2SG			
cheʼes	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG.MSC			
cheʼet	cheʼe	VERB	VerbForm=Fin	comio	?-comer-3SG			
cheʼey	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG.HUM			
cheʼeñ	kaʼan	VERB	VerbForm=Fin	fue	COM-ir-?			
cheʼéy	kaʼan	VERB	VerbForm=Fin	fue	COM-ir-3SG.HUM			
cheʼë	kaʼan	VERB	VerbForm=Fin	fui	COM-ir-1SG			
chi	chi	SCONJ		que	COMPL			
chiadi		NOUN		azúcar				
chiba								
chibatu		NOUN		chivo				
chiblaʼa		NOUN		armadillo				
chich								
chichen		NOUN		mi abuelito				
chichi		VERB	VerbForm=Fin	se quemó	?-quemarse-?			
chichë		NOUN		mi abuelito				
chichëen		NOUN		mi abuelito				
chida		NOUN		mi papá				
chidan		NOUN		mi papá				
chiduu		NOUN		sacerdote				
chidúbi		NOUN		cucaracha				
chii								
chii		VERB		se murió	?-morirse-?			
chiiba								
chiibat		NOUN		telaraña				
chiinta		VERB	VerbForm=Fin	se mojaron	?-mojarse-?			
chiis		VERB	VerbForm=Fin	puso	?-poner-3SG.MSC			
chika		VERB	VerbForm=Fin	corté	?-cortar-?			
chikadi		VERB	VerbForm=Fin	pude	?-poder-1SG			
chikata		VERB	VerbForm=Fin	pidió	?-pedir-3SG.FEM			
chiku'u		NOUN		abuela				
chikuday								
chikudaya		NOUN		comadre				
chikudayay		NOUN		su comadre	comadre-POSS.SG3.HUM			
chikuincháakuu		NOUN		virgen				
chikuʼu		NOUN		mi abuelita				
china		VERB	VerbForm=Fin	perdí	?-perder-1SG			
chinba'a		NOUN		puerta				
chinbaʼa		NOUN		puerta	boca#casa			
chindiyaa				asustó				
chineabay		VERB	VerbForm=Fin	se cayó	?-caerse-?			
chineabea		VERB	VerbForm=Fin	me caí	?-caerse-1SG			
chineabed								
chines		VERB	VerbForm=Fin	ayudó	?-ayudar-3SG.MSC			
chineñ								
chini		VERB	VerbForm=Fin	tronar	?-tronar-?			
chiniiyat		VERB	VerbForm=Fin	asustó	?-asustar-?			
chinod		VERB	VerbForm=Fin	tiraste	?-tirar-2SG			
chinoo		VERB	VerbForm=Fin	entró	?-entrar-?			
chinoy		VERB	VerbForm=Fin	se cayó	?-caerse-3SG.HUM			
chinta		VERB	VerbForm=Fin	se mojó	?-mojarse-?			
chinti		NOUN		boca				
chinu		VERB	VerbForm=Fin	maté	?-matar-1SG			
chinus		VERB	VerbForm=Fin	mató	?-matar-3SG.MSC			
chinuy		VERB	VerbForm=Fin	mató	?-matar-3SG.HUM			
chinuñ		VERB	VerbForm=Fin	mató	?-matar-?			
chinuú		NOUN		mi hermano				
chinyadi				chismoso				
chiná		VERB	VerbForm=Fin	perdio	?-perder-3SG			
chiní		NOUN		hígado				
chinó		VERB	VerbForm=Fin	entró	?-entrar-?			
chinót		VERB	VerbForm=Fin	se cayó	?-caerse-3SG			
chinʼö		VERB	VerbForm=Fin	soñé	?-soñar-1SG			
chita		NOUN		olla				
chitee		VERB	VerbForm=Fin	se rompió	?-romperse-?			
chitod		VERB	VerbForm=Fin	agarraste	?-agarrar-2SG			
chitöo								
chitöo		VERB	VerbForm=Fin	se reventó	?-reventarse-?			
chivato								
chivatu								
chivatun		NOUN		chivo				
chiya		NOUN		lengua				
chií		VERB	VerbForm=Fin	tomé	?-tomar-1SG			
chiíbat		NOUN		telaraña				
chiíta		VERB	VerbForm=Fin	creció	?-crecer-?			
chiñá		VERB	VerbForm=Fin	se ensució	?-ensuciarse-?			
chiʼiy								
chunti								
chuu		PRON		ésto				
chuʼuu	cheʼe	VERB	VerbForm=Fin	comemos	?-comer-1PL			
chuʼuu	cheʼe	VERB	VerbForm=Fin	comemos	?-comer-1PL			
cháku		NOUN		mi mamá				
chéa		NOUN		comal				
chéanu		VERB		gusté	?-gustar-SG1			
chéatea				grande				
chéatu				sordo				
chéche								
chëe		VERB	VerbForm=Fin	aprendí	?-aprender-1SG			
chìnus		VERB	VerbForm=Fin	mató	?-matar-3SG.MSC			
chìní		NOUN		hígado				
chíbat		NOUN		telaraña				
chíchi				apretado				
chídi		NOUN		garrapata				
chíika		VERB	VerbForm=Fin	corté	?-cortar-?			
chíita		VERB	VerbForm=Fin	creció	?-crecer-?			
chíka		VERB	VerbForm=Fin	corté	?-cortar-?			
chíni		NOUN		frijolar				
chínu		VERB	VerbForm=Fin	maté	?-matar-1SG			
chíní		NOUN		frijolar				
chï				eso				
chó				aquello				
chó'oo				pasó				
chóo								
chóʼoo								
chú'üu	kaʼan	VERB	VerbForm=Fin	fuimos	?-ir-1PL			
chúnti		NOUN		grillo				
chúntii		NOUN		grillo				
chúʼüu	kaʼan	VERB	VerbForm=Fin	fuimos	COM-ir-1PL			
clinika	clínica	NOUN		clínica				
daanu		NOUN		sombra				
dada		NOUN		yerno				
dada		NOUN		cuñado				
daday		NOUN		su yerno	yerno-POSS.3SG.HUM			
daku		NOUN		sobrino				
dama				igual				
dami								
damid								
damí								
dankubi		NOUN		llovizna				
danti				flojera				
dantu		NOUN		cuello				
danu				raro				
daya		NOUN		hijo(a)				
dayaa		NOUN		su hijo(a)				
dayad		NOUN		tu hijo(a)	hijo-POSS.SG2			
dayas		NOUN		su hijo(a)	hijo-POSS.SG3.MSC			
dayata	daya	NOUN		su.hijo(a)	hijo-POSS.3SG.FEM			
dayay		NOUN		su hijo(a)	hijo-POSS.SG3.HUM			
daybede		NOUN		hijastro(a)				
daynuni		NOUN		ahijado(a)				
daá								
dea								
deabea				limpio				
deabea				alumbrado				
deache		NOUN		resina				
deachea		NOUN		mugre				
deakea				despeinado(a)				
deakea		NOUN		nido				
deaku		NOUN		basura				
deanud								
dechea								
dibaku								
dibi				estiercol				
dibyudi		NOUN		mala mujer				
dibíkuy								
did								
dii				resistente				
diibi		NOUN		estiércol				
diijuku		NOUN		tecolote				
diinuu		NOUN		gorro				
diis								
diiyu								
diiñu		NOUN		diente				
dijinuy		NOUN		nieto				
dijuku		NOUN		tecolote				
dijú								
dikadi		VERB		peso				
dikaya								
dikayan		NOUN		niños				
dikunú		NOUN		nuera				
dikuo'oo		NOUN		bebé				
dikuoʼo								
dikuoʼoo		NOUN		bebé				
dikúnu		NOUN		nuera				
dimaan		ADV		pasado mañana				
dimoo				sólo, puro				
dimoʼö								
dimá		ADV		pasado mañana				
din								
dinaá				hice				
dininii		NOUN		cuerno				
dinu		NOUN		mi hermano				
dinuu		NOUN		gorro				
dinuu		NOUN		talón				
dinuu		NOUN		mi hermano				
dinuun		NOUN		mi hermano				
dinán		VERB		preparan	?-preparar-?			
dituu		VERB	VerbForm=Stat	fuerte				
dituuy				fuerte				
diya		NOUN		tío				
diyan		NOUN		tío				
diyda'a		NOUN		raíz				
dií								
diñu		NOUN		diente				
dnee								
dnete		NOUN		ejote				
du'u		PRON	PronType=Int	quien				
duchii		NOUN		bromas				
dudi		NOUN		tía				
duku		NOUN		ladrón				
dunu								
dunun		NOUN		mi tío				
dut								
dutit		NOUN		huevo				
dutu		NOUN		nariz				
duutu		NOUN		tronco				
duuʼu		PRON	PronType=Int	quién				
duú		NOUN		uña				
duʼu		PRON	PronType=Int	quién				
dànu		NOUN		sombra				
dáaya				tartamuda				
déa								
dìya		NOUN		tío				
dí		PRON	PronType=Prs	tú	2SG			
díi		NOUN		caspa				
díi				tamo				
díkuy				pecho				
díma		NOUN		cáscara				
dínu		NOUN		hermano				
dínud		VERB		apretas	?-apretar-2SG			
díta		NOUN		pájaro carpintero				
dítdanti		NOUN		correcamino				
dítu		NOUN		orilla				
dítuu		NOUN		orilla				
díyu		NOUN		liana				
dï								
dóo				hiel				
dúchi				codo				
dúdi		NOUN		tía				
dúdut		NOUN		sus plumas				
dúku				robé				
dúkuu		VERB	VerbForm=Fin	robé	?-robar-?			
dúnu								
dü		NOUN		manteca				
dü		NOUN		uña				
düntuu				marca de un golpe				
eaku				suena				
eanu		VERB		gusto	?-gustar-1SG			
eanud		VERB	VerbForm=Fin	gustas	?-gustar-2SG			
eanus		VERB	VerbForm=Fin	gusta	?-gustar-3SG.MSC			
eanut		VERB	VerbForm=Fin	gusta	?-gustar-3SG			
eate								
eatoʼóy		VERB		echa pico				
eatu		VERB	VerbForm=Fin	estoy levantando	?-levantar-?			
eatú		VERB	VerbForm=Fin	golpeé	?-golpear-?			
eche				punzado				
ey		INTJ		sí				
eñ		VERB		estudiar	?-estudiar-?			
gea				subida				
genee								
gibii		NOUN		hierbabuena				
gideabe				está amaneciendo				
gijobe								
gikuu		NOUN		cuchillo				
gimbeaku		NOUN		hierba santa				
ginchéte		NOUN		lodo				
ginoyaanti				bostezar				
giyeyoo				bule (para agua)				
giyuu		NOUN		carbón				
giʼï				gotea				
gua		PART		no	NEG			
guay		VERB	VerbForm=Fin	traer	?-traer-3SG.HUM			
gèche				macizo				
gèète		NOUN		tripa				
géche		NOUN		ala				
gë								
gëe		VERB	VerbForm=Fin	huele	?-oler-?			
gíta		NOUN		dolor				
gíyeye		NOUN		ceniza				
góo								
iba		NOUN		hielo				
ibu								
ibuu								
icha				frío				
ii				pesa				
ika								
ika		VERB		hago	?-hacer-1SG			
ikay		VERB		hace	?-hacer-?			
iku		ADV		ayer				
ikun		ADV		ayer				
inbakuyan								
inbíku				semana santa				
insen	insen	PRON	PronType=Prs	ustedes	2PL			
inti								
intieʼë		NOUN		autoridad				
intii								
intoʼö		NOUN		suegra				
inu	inu	NUM	NumType=Card	tres				
inun								
inuu				caliente				
inʼö				sueño,soñar				
it dituu		NOUN		mula				
it dutu		NOUN		caracol				
it icha		NOUN		cochinilla				
it								
itcheanu		NOUN		venado				
itdaʼaa		NOUN		alacrán				
itduza		NOUN		puerco espín				
iti		NOUN		animal				
itintu		NOUN		toro				
itjingatu				libélula				
itjoó		NOUN		cadera				
itkudintaa		NOUN		tijerilla(insecto)				
itsoʼö		NOUN		guajolote				
itsó		NOUN		sapo				
itñeʼë		NOUN		mis animales	animal#base-POSS.1SG			
itñoʼo		NOUN		insecto palo				
itñoʼö		NOUN		luciérnaga				
iyaa		NOUN		chile				
iynutii		NOUN		chile piquín				
iyu		NOUN		mes, luna				
iyu		NOUN		luna				
iñ		NOUN		gente				
iña		NOUN		gente				
iñan		NOUN		gente				
iñsen								
iñsoʼö niku				suegro				
iñtoʼö		NOUN		guajolota				
iñuu								
iñʼtoʼö		NOUN		guajolota				
iʼbaa				guacamaya				
iʼyaa		NOUN		águila				
iʼyu		NOUN		mecate				
jaa				nuevo				
jaata		VERB	VerbForm=Fin	compra	?-comprar-3SG.FEM			
jabat		VERB	VerbForm=Fin	ladra	?-ladrar-?			
jabee		NOUN		oreja, oido				
jabnutu				vuelta				
jabnututa		VERB	VerbForm=Fin	da vueltas	?-dar.vueltas-3SG.FEM			
jadi		NOUN		tepache				
jadii		NOUN		tepache				
jaunutu				vuelta				
jaá								
jaʼa		NOUN		cáscara				
jeaas								
jeakuta		VERB	VerbForm=Fin	está llorando	?-llorar-3SG.FEM			
jeakuy		VERB	VerbForm=Fin	llorar	?-llorar-3SG.HUM			
jeakuy		VERB	VerbForm=Fin	tapar	?-tapar-3SG.HUM			
jeanu		VERB	VerbForm=Fin	correr	?-correr-?			
jeanuta								
jeas								
jecheé								
jee	cheʼe	VERB	VerbForm=Fin	como	?-comer-1SG			
jeen								
jeeya	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG.HUM			
jeé		VERB	VerbForm=Fin	como	?-comer-1SG			
jeés								
jeét	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG 			
jeéta	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG.FEM			
jeéy	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG.HUM			
jeʼe	cheʼe	VERB	VerbForm=Fin	estoy.comiendo	?-comer-1SG			
jeʼen	kaʼan	VERB	VerbForm=Fin	vamos	?-ir-1PL			
jeʼet	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG 			
jeʼey		VERB	VerbForm=Fin	comen	?-comer-?			
jeʼeñ	kaʼan	VERB	VerbForm=Fin	va	?-ir-?			
jeʼé	kaʼan	VERB	VerbForm=Fin	voy	?-ir-1SG			
jeʼët		VERB	VerbForm=Fin	ir	?-ir-3SG			
jeʼëta	kaʼan	VERB	VerbForm=Fin	van	?-ir-3SG.FEM			
jeʼëñ	kaʼan	VERB	VerbForm=Fin	va	?-ir-?			
ji								
jiba		NOUN		petate				
Jibaku		PROPN		Cuicatlán	LOC			
Jibakun		PROPN		Cuicatlán	LOC			
jichiba		VERB	VerbForm=Fin	sirve	?-servir-?			
jichisnee		VERB	VerbForm=Fin	amarro	?-amarrar-?			
jichoó		VERB	VerbForm=Fin	paso	?-pasar-?			
jideabe				amanece				
jideku								
jidi		VERB	VerbForm=Fin	hace	?-hacer-?			
jidijü		VERB	VerbForm=Fin	estoy escribiendo	?-escribir-1SG			
jidis		VERB	VerbForm=Fin	hace	?-hacer-3SG.MSC			
jidií		VERB	VerbForm=Fin	hacer	?-hacer-?			
jidiñ		VERB	VerbForm=Fin	está haciendo	?-hacer-?			
jidkueakus		VERB		tocar campana				
jidéaku		NOUN		basura				
jidí		VERB	VerbForm=Fin	hacer	?-hacer-1SG			
jigea		VERB	VerbForm=Fin	cae	?-caer-?			
jii								
jiinus								
jiinuy		VERB	VerbForm=Fin	siembra	?-sembrar-3SG.HUM			
jijobaa				sombras de estaciones en la fiesta de semana santa				
jijéa		VERB	VerbForm=Fin	se tira	?-tirarse-?			
jika		NOUN		camina				
jikadi		VERB	VerbForm=Fin	puede	?-poder-?			
jikioʼö		NOUN		bosque				
jikiöo								
jikney		VERB	VerbForm=Fin	cargan	?-cargar-?			
jiknó		VERB	VerbForm=Fin	salen	?-salir-?			
jiku		NOUN		río, cerro				
jikuu								
jima		NOUN		sal				
jimaa								
jinanuchi		VERB	VerbForm=Fin	me despierto	?-despertarse-?			
jinanus		VERB	VerbForm=Fin	está lavando	?-lavar-3SG.MSC			
jinatnoy		VERB	VerbForm=Fin	está sacando	?-sacar-3SG.HUM			
jinay		VERB	VerbForm=Fin	lleva	?-llevar-?			
jinaá		VERB	VerbForm=Fin	preparo	?-preparar-1SG			
jinbinti								
jinda								
jindiyaa		VERB	VerbForm=Fin	asusta	?-asusta-?			
jinee								
jinenúkuta								
jiney		VERB	VerbForm=Fin		?-hablar-?			
jineñ		VERB	VerbForm=Fin	pone	?-poner-?			
jineʼe								
jingaku		VERB	VerbForm=Fin	recuerdo	?-recordar-?			
jingu		VERB		moler				
jinguata		VERB		traer	?-traer-3SG.FEM			
jinguay		VERB	VerbForm=Fin	va a traer	?-traer-?			
jingunoo		VERB		masticar				
jinguy		VERB	VerbForm=Fin	dejar	?-dejar-?			
jinguyu								
jingö		NOUN		milpa				
jiniku		VERB	VerbForm=Fin	vendo	?-vender-1SG			
jinikus		VERB	VerbForm=Fin	vende	?-vender-3SG.MSC			
jinikuta		VERB	VerbForm=Fin	vende	?-vender-3SG.FEM			
jinikuy		VERB	VerbForm=Fin	vende	?-vender-3SG.HUM			
jinkatu								
jinkue								
jinkuë		VERB	VerbForm=Fin	revuelve	?-revolver-?			
jino		VERB	VerbForm=Fin	sale	?-salir-?			
jinoo		VERB	VerbForm=Fin	sale	?-salir-?			
jinta		VERB		se moja				
jintibiy		VERB	VerbForm=Fin	hace	?-hacer-3SG.HUM			
jintu				barbecho				
jinus		VERB	VerbForm=Fin	usa	?-usar-?			
jinuu		VERB	VerbForm=Fin	pongo	?-poner-1SG			
jinuy		VERB	VerbForm=Fin	pone	?-poner-3SG.HUM			
jinákuu		NOUN		reglamento, bastón de mando				
jinánuy		VERB	VerbForm=Fin	está lavando	?-lavar-3SG.HUM			
jináy		VERB	VerbForm=Fin	preparan	?-preparar-?			
jiné								
jinéacheta		VERB	VerbForm=Fin	barre	?-barrer-?			
jinìnii		NOUN		araña				
jiníkuy		VERB	VerbForm=Fin	vendio	?-vender-3SG.HUM			
jinó		VERB	VerbForm=Fin	sale	?-salir-?			
jita		VERB	VerbForm=Fin	canta	?-cantar-?			
jitatï								
jitbon		VERB		atrapar	?-atrapar-?			
jitiaka		NOUN		platanal				
jitií		VERB		se seca	?-secarse-?			
jitnoy		VERB	VerbForm=Fin	hace	?-hacer-3SG.HUM			
jitubii		VERB	VerbForm=Fin	ocupo	?-ocupar-1SG			
jitubita		VERB	VerbForm=Fin	ocupa	?-ocupar-3SG.FEM			
jitubiy		VERB	VerbForm=Fin	ocupan	?-ocupar-3SG.HUM			
jitúbiy		VERB	VerbForm=Fin	ocupa	?-ocupar-3SG.HUM			
jiyuu		NOUN		carrizo				
jiyáka		NOUN		polvo				
jiì		VERB	VerbForm=Fin	tomo	?-tomar-1SG			
jiíy		VERB	VerbForm=Fin	toma	?-tomar-3SG.HUM			
jiñöo								
jiʼi								
jobe		NOUN		día				
jobey								
joobe		NOUN		voladero				
joʼo								
joʼoy		VERB	VerbForm=Fin	da	?-dar-?			
joʼó								
joʼód		VERB	VerbForm=Fin	dices	?-decir-2SG			
joʼö				suena				
jubid								
jubii		NOUN		lugar arenoso				
jubii				_				
juchi		NOUN		sobrina				
Julio	Julio	PROPN		Julio				
juu								
juuchi		NOUN		flama				
juú		NUM		cinco				
juʼü		NUM		cinco				
jààba		NOUN		ingredientes				
jáa								
jába		VERB	VerbForm=Fin	ladra	?-ladrar-?			
jëʼe		VERB	VerbForm=Fin	voy	?-ir-?			
jììya								
jí								
jíba				arrollo o sanja				
jíku		NOUN		cerro				
jíku		NOUN		río				
jíkuu		NOUN		río				
jínay								
jíntinii				estaca para sembrar				
jínus		VERB	VerbForm=Fin	siembra	?-sembrar-3SG.MSC			
jínuñ		VERB	VerbForm=Fin	siembra	?-sembrar-?			
jínyinii		VERB	VerbForm=Fin	sembrar	?-sembrar-?			
jíyuu		NOUN		carrizo				
jòò		NUM		seis				
jóbe		NOUN		nombre				
jóbey								
júku		NOUN		estaca				
kaa		VERB	VerbForm=Fin	comprar	?-comprar-?			
kaaba				suelto				
kaaka		VERB	VerbForm=Fin	cortar	?-cortar-?			
kaba				feo				
kabachi								
kachi								
kachika		VERB		anda	?-andar-?			
kachí		VERB	VerbForm=Fin	vomitar	?-vomitar-?			
kad		VERB	VerbForm=Fin	comprar	?-comprar-2SG			
kadi		NOUN		peso($)				
kadinu		VERB	VerbForm=Fin	me enteraré	?-enterarse-1SG			
